наименование
"Жемчужина Крима" вино ігр. витримане не менш 3-х років біле сухе
"Жемчужина Крима" вино ігр. витримане не менш 9-ти міс. біле солодке
"Золота Лоза" вино орд. столове біле напівсолодке (3 л.)
"ЗОЛОТА ЛОЗА" вино орд. столове біле сухе (3 л.)
"ЗОЛОТА ЛОЗА" вино орд. столове червоне сухе (3 л.)
"Крим" біл. кол. бр.
"Крим" біл. кол. п/с
"Крим" вино ігр. витр. не менш 9 міс. рожеве напівсухе
"Крим" витр. не менш 3-х років біле брют (сувенірна упаковка)
"Крим" витр. не менш 3-х років біле напівсолодке
"Крим" витр. не менш 3-х років біле напівсолодке (сувенірна упаковка)
"Крим" витр. не менш 3-х років біле напівсухе (сувенірна упаковка)
"Крим" витримане рожеве сухе (сувенірна упаковка)
"Крим" чер. п/сл
"Рубин Криму" вино орд. столове червоне напівсолодке (3 л.)
"Рубин Криму" вино орд. столове червоне напівсолодке 0,7
Вино ігристе брют біле "ТУТТО БЕНЕ" ("Tutto bene")
Вино ігристе напівсолодке червоне "ТУТТО БЕНЕ" ("Tutto bene")
Вино ігристе солодке біле "ТУТТО БЕНЕ" ("Tutto bene")
"ARTWINE" вино ігр. витр. не менш 18-ти міс. біле брют натюр
"ARTWINE" вино ігр. витр. не менш 18-ти міс. біле напівсолодке
"ARTWINE" вино ігр. витр. не менш 18-ти міс. рожеве брют
"ARTWINE" вино ігр. витр. не менш 36- ти міс. біле брют натюр в художньо оформленій картонній коробці
"ARTWINE" вино ігр. витр. не менш 36- ти міс. рожеве брют в художньо оформленій картонній коробці
"ARTWINE" вино ігр. витр. не менш 36-ти міс. біле брют натюр
"ARTWINE" вино ігр. витр. не менш 36-ти міс. біле брют натюр (3,0л)
"ARTWINE" вино ігр. витр. не менш 36-ти міс. біле брют натюр (6,0л)
"ARTWINE" вино ігр. витр. не менш 36-ти міс. біле напівсолодке
"ARTWINE" вино ігр. витр. не менш 36-ти міс. рожеве брют
"ARTWINE" вино ігр. витр. не менш 36-ти міс. рожеве брют (3,0л)
"ARTWINE" вино ігр. витр. не менш 36-ти міс. рожеве брют (6,0л)
"Набір сувенірний з вином ігристим" ("Артемівське" біле напівсолодке, "ARTWINE" рожеве брют (18 місяців)
Сувенірний набір "ARTWINE". Набір містить: одну пляшку вина ігр. витр. білого брют "ARTWINE" 0,75 л та пляшку вина ігр. витр. рожевого брют "ARTWINE" 0,75 л.
"ARTWINE" вино ігристе витримане не менш 18 міс. червоне брют
"CHARTE" біле напівсолодке з ароматом абрикоса
"CHARTE" біле напівсолодке з ароматом ананаса
"CHARTE" напій винний слабоал. ігристий рожевий з аром. полуницi (0,2 л)
"CHARTE" напій винний слабоал. ігристий рожевий з аром. полуницi (0,2 л) (без сув. упак.)
"CHARTE" рожеве напівсолодке з ароматом полуницi
"CHARTE" рожеве напівсолодке з ароматом чорної смородини
"CHARTE" муск. рожеве витр. п/сл
"CHARTE" червоне п/сл
"GRAND ARTINERO" вино ігр. витр. не менш 24-х міс. біле брют
"GRAND ARTINERO" вино ігр. витр. не менш 24-х міс. біле напівсолодке
"GRAND ARTINERO" вино ігр. витр. не менш 24-х міс. рожеве брют
"КримАрт" біл. кол. бр. Zero
"КримАрт" біл. кол. бр. Zero (HoReCa)
"КримАрт" біл. кол. экстра-брют
"КримАрт" біл. кол. экстра-брют (HoReCa)
"КримАрт" витр. не менш 3-х років біле брют ZERO (6 л)
"КримАрт" витр. не менш 3-х років екстра-брют (6 л)
"КримАрт" мускатне вит брют (HoReCa)
"КримАрт" мускатне вит. брют
"КримАрт" рожеве вит. брют (HoReCa)
"КримАрт" рожеве вит.брют
"КримАрт" рожеве витр.брют (6 л)
"КримАрт" чер. вит. брют (HoReCa)
"КримАрт" черв. вит. брют
"КримАрт"вино ігр. витр. не менш 3-х років біле екстра-брют (ВИНТАЖ) (без сув. упак.)
SAVAGE FRAGOLINO BIANCO напій винний слабоалкогольний ігристий (Італія)
SAVAGE FRAGOLINO ROSSO напій винний слабоалкогольний ігристий (Італія)
SAVAGE LAMBRUSCO DELL`EMILIA вино напівсухе біле ігристе (Італія)
"SOLOKING" бiл. витр. п/сл 1,5л
"SOLOKING" бiл. кол. брют 1,5л
"SOLOKING" бiл.кол. п/сухе 1,5л
"SOLOKING" біл. кол. брют
"SOLOKING" біл. кол. брют (сув.короб)
"SOLOKING" біл. кол. п/сухе
"SOLOKING" витр. черв. п/сл 1,5л
"SOLOKING" рожеве вит. п/сухе
"SOLOKING" рожеве витр. брют 1,5л
"SOLOKING" рожеве витр. п/сухе 1,5л
"SOLOKING" червоне вит. п/солодке
